1476793820.601000, /muse/acc, 246.09413, 964.8453, 144.53148
1476793820.794000, /muse/eeg, 847.16486, 842.2299, 804.3954, 847.16486
1476793820.794000, /muse/eeg, 848.8099, 875.1295, 814.26526, 842.2299
1476793820.794000, /muse/eeg, 848.8099, 817.55524, 796.1705, 857.0347
1476793820.795000, /muse/eeg, 843.87494, 825.78015, 799.46045, 850.45483
1476793820.795000, /muse/eeg, 847.16486, 822.4902, 799.46045, 850.45483
1476793820.795000, /muse/eeg, 857.0347, 857.0347, 812.6203, 853.7448
1476793820.795000, /muse/eeg, 853.7448, 868.5496, 815.9103, 848.8099
1476793820.795000, /muse/eeg, 845.5199, 827.4251, 801.1054, 853.7448
1476793820.795000, /muse/eeg, 847.16486, 848.8099, 810.9753, 848.8099
1476793820.795000, /muse/eeg, 852.0998, 898.15924, 827.4251, 840.58496
1476793820.795000, /muse/acc, 261.71915, 964.8453, 148.43773
1476793820.795000, /muse/acc, 261.71915, 968.7515, 148.43773
1476793820.795000, /muse/acc, 261.71915, 964.8453, 148.43773
1476793820.795000, /muse/acc, 261.71915, 964.8453, 144.53148
1476793820.800000, /muse/eeg, 852.0998, 906.38416, 830.7151, 842.2299
1476793820.800000, /muse/eeg/quantization, 1, 1, 1, 1
1476793820.800000, /muse/eeg, 852.0998, 871.8396, 819.2002, 847.16486
1476793820.800000, /muse/eeg, 853.7448, 860.3247, 812.6203, 845.5199
1476793820.800000, /muse/elements/alpha_relative, 0.19739059, 0.22445835, 0.23540796, 0.21921423
1476793820.800000, /muse/elements/beta_relative, 0.035550065, 0.2957927, 0.15007156, 0.04609502
1476793820.801000, /muse/elements/delta_relative, 0.36868072, 0.045414656, 0.42357555, 0.34703702
1476793820.801000, /muse/elements/gamma_relative, 0.0118145915, 0.39250493, 0.15378475, 0.018526804
1476793820.801000, /muse/elements/theta_relative, 0.38656405, 0.04182936, 0.037160173, 0.36912695
1476793820.801000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1476793820.801000, /muse/elements/is_good, 1, 1, 1, 1
1476793820.801000, /muse/elements/blink, 0
1476793820.801000, /muse/elements/jaw_clench, 0
1476793820.801000, /muse/elements/touching_forehead, 1
1476793820.801000, /muse/elements/experimental/concentration, 0.25873932
1476793820.801000, /muse/elements/experimental/mellow, 0.41515955
1476793820.802000, /muse/elements/raw_fft0, -1.7334102, 1.70623, 0.16891867, 0.26100928, 1.3114767, -1.8520722, -1.2410487, -2.4851112, -5.251632, -5.8868113, -5.0636716, -3.9330235, -2.5192368, -7.7865005, -3.878107, -10.509456, -9.2313, -9.743917, -10.362074, -15.431206, -10.537243, -9.957953, -18.856806, -18.016417, -18.617699, -13.4453125, -14.46841, -17.847136, -18.200478, -15.612668, -10.518502, -11.263985, -9.768155, -14.048502, -12.460175, -13.46593, -15.91149, -13.662241, -16.403606, -15.864807, -16.373508, -20.450802, -16.212381, -20.678576, -17.171312, -14.791127, -15.183439, -16.385212, -18.177818, -18.944439, -19.834593, -19.275726, -18.426264, -15.88489, -11.01998, -15.773797, -19.134224, -14.800241, -13.790897, -18.788996, -17.334723, -18.254505, -20.780825, -23.538288, -22.238247, -25.523855, -25.858639, -22.09204, -18.023335, -2.824732, -3.1306782, -19.804178, -27.398474, -22.879875, -20.864626, -25.995197, -20.781519, -18.082342, -18.293554, -20.575138, -19.963741, -19.15672, -24.341238, -22.207554, -18.97898, -15.170355, -14.630352, -21.109634, -18.89704, -23.639627, -22.322523, -19.524504, -27.140942, -26.223175, -20.535471, -17.484694, -18.414206, -19.043358, -15.164577, -17.35274, -26.633457, -24.383713, -24.628687, -19.927887, -23.577374, -18.118103, -24.18891, -25.760405, -18.141485, -21.202967, -19.162504, -15.156633, -16.447094, -17.447695, -17.792501, -21.148504, -19.615295, -22.89592, -28.560389, -25.02546, -29.50606, -27.211317, -25.42983, -25.92181, -23.249233, -26.204935, -27.461353, -29.793116, -25.259441
1476793820.804000, /muse/elements/raw_fft1, -7.671442, -1.4171546, -1.4997674, -4.2120595, -2.1199694, -4.072197, -5.950543, -7.5914135, -8.03027, -4.799961, -0.76018804, -0.6656289, -3.9541812, -5.453113, -1.905656, -4.5907335, -3.618604, -8.457385, -2.424332, -2.062384, -6.1706414, -4.160934, -1.2105247, -7.196135, -10.74656, -5.9154434, -1.365003, -6.34176, -2.8670032, -5.929539, 0.5482834, 2.3742833, 4.9255548, -1.1279536, 0.07533794, -4.7681227, -2.4302137, 0.22178766, 4.655973, -0.29052326, -0.244992, -1.9320196, 2.4617507, -1.687704, 0.3486992, 0.050826974, -3.3297315, 1.3835689, 2.0112941, -3.0261602, -0.7435498, -3.9571133, -4.580798, 5.21262, 9.986986, 1.3870014, -5.5794034, 3.0382712, 6.16537, -2.7799127, -4.8533144, -0.8273258, -4.3303037, -7.6571555, -2.477886, -4.710646, -10.79584, -12.116408, -14.132325, -11.227478, -10.647052, -14.942698, -13.92166, -7.986577, -6.990947, -6.677402, -7.397982, -6.165649, -3.4200592, -3.4359617, -11.431061, 0.44116426, 4.2689433, -3.1094756, -2.2695386, 2.546413, 4.281657, -4.710633, -7.645196, -9.808388, -4.840465, -0.12378476, 0.3028251, 0.32819837, -2.4148905, -3.6661472, -6.988911, -1.1727589, 2.4345837, -3.0074914, -4.630791, 0.113908775, -1.436841, 0.5623765, 0.11819026, -5.361991, 1.3395193, 3.0695314, 5.959823, 0.34894615, 1.6893086, -4.0007567, -3.6174314, -3.6712368, -7.5267754, -3.684007, 0.05238196, -4.449537, -2.2166107, -2.2074099, -8.418715, -6.941549, -6.544196, -5.4054713, -3.7746592, -5.7375383, -8.916963, -7.7377586, -9.57105
