1476846082.828000, /muse/elements/experimental/concentration, 0.4966377
1476846082.829000, /muse/elements/experimental/mellow, 0.0
1476846082.829000, /muse/elements/raw_fft0, 3.4964879, 13.423186, 12.024182, 6.399174, 11.008872, 5.900247, 6.0965004, 4.225112, 1.2332362, 3.247091, -6.5356603, -3.3942606, -6.252295, -2.2366002, -5.443036, -5.923098, -4.4894624, -2.567185, -0.32405904, -4.088029, -6.093807, -9.843485, -3.120242, -4.3579783, -10.17595, -10.219177, -9.140823, -5.7037973, -1.1625508, -5.345816, -13.604553, -12.81862, -10.785011, -10.754071, -10.8820915, -4.9292207, -4.917678, -13.024346, -10.037689, -7.224386, -7.166162, -9.929432, -12.712634, -9.00082, -11.608357, -7.9869766, -4.825975, -9.57789, -10.600912, -13.696223, -13.040421, -4.130175, -1.4695874, -10.261466, -12.35121, -7.745145, -3.7306414, -4.132719, -8.466181, -7.375458, -4.4526987, -6.345943, -11.6098585, -9.145497, -11.3129635, -12.737133, -13.260179, -13.083618, -19.311924, -24.407686, -23.909615, -25.612785, -19.60613, -12.908953, -12.201136, -15.298165, -10.379062, -8.526703, -12.953596, -13.076583, -7.184062, -7.306768, -6.9933586, -10.710617, -11.955272, -11.49285, -11.874052, -17.756834, -16.092937, -9.817266, -7.627865, -11.752887, -17.336773, -15.07246, -13.501091, -11.580039, -10.22051, -11.703532, -17.592735, -11.525156, -10.789348, -9.911591, -9.5234995, -8.94813, -14.541774, -11.529712, -14.88013, -12.617998, -8.260551, -14.792261, -14.931077, -12.719796, -11.75071, -11.291884, -15.773553, -14.626493, -14.598169, -14.643048, -17.119669, -20.844702, -15.959365, -11.46618, -16.100216, -18.779633, -18.03485, -24.79532, -18.053152, -14.696821, -14.444641
1476846082.829000, /muse/elements/raw_fft1, 5.5967813, 12.368286, 11.414673, 9.224948, 6.7541647, 7.494054, 3.3006344, 0.36486834, -0.7839086, 0.29346177, -1.2300987, -7.7235327, -9.838912, -11.543172, -14.152232, -14.254322, -15.411336, -16.442202, -14.015838, -11.978081, -9.566563, -11.642232, -18.105915, -21.957027, -8.162169, -6.516222, -16.11267, -19.421846, -13.533476, -9.585506, -12.818476, -9.0956545, -9.45593, -13.8968725, -12.299463, -9.6404705, -9.187142, -11.5570135, -10.813892, -13.71329, -10.811176, -11.323817, -11.680624, -11.838172, -17.731743, -14.723586, -13.062639, -12.592613, -15.146811, -14.380224, -16.27252, -15.476628, -14.333902, -11.185947, -12.188562, -8.718127, -10.776561, -12.413668, -13.215729, -13.678271, -19.955402, -18.711843, -17.961878, -16.604061, -13.487405, -15.563057, -16.757423, -17.899645, -24.004656, -30.391478, -33.87104, -29.551924, -21.642536, -22.150707, -17.6378, -16.627285, -14.49801, -13.679918, -14.820154, -18.075705, -19.360432, -15.916973, -15.147092, -13.76241, -19.954569, -14.574819, -13.285316, -17.859211, -17.937967, -19.494589, -16.032742, -19.208723, -18.876324, -15.181551, -15.1671, -25.048882, -15.596232, -14.450926, -12.519879, -17.317558, -16.933525, -14.340404, -17.833786, -21.63482, -20.645403, -14.669717, -17.197775, -19.5349, -15.867064, -12.122384, -16.760199, -21.742937, -20.421314, -19.328444, -26.293537, -29.680386, -25.717525, -24.533474, -25.016966, -20.406263, -20.988878, -23.070013, -29.27581, -29.165224, -28.597748, -26.90909, -29.07178, -25.63967, -29.274006
1476846082.830000, /muse/elements/raw_fft2, 9.678344, 16.25241, 12.437661, 7.007346, 1.3867555, 0.6350064, 4.866468, 1.3827969, -3.2695725, -3.9937465, -4.6818757, -5.0695047, -7.146263, -9.761802, -10.651126, -9.8200245, -13.374482, -9.824254, -8.900266, -13.702511, -14.021456, -10.336147, -9.950222, -12.6875515, -12.092888, -13.20165, -17.889175, -16.711752, -17.861694, -10.734041, -9.820117, -11.56518, -8.563689, -12.000359, -11.949893, -10.137609, -9.749612, -15.312228, -21.35999, -14.784859, -11.011151, -13.64537, -8.097347, -11.091868, -15.515545, -10.572455, -8.851127, -6.588618, -7.7482085, -9.780646, -8.544718, -9.481583, -12.295353, -12.312855, -11.687324, -12.246149, -12.989372, -14.572902, -17.07788, -21.619268, -21.107347, -19.292059, -19.787506, -17.600925, -15.180761, -20.199568, -19.771507, -23.47917, -27.872713, -29.500078, -34.215, -28.326828, -24.348642, -21.338316, -25.556612, -23.534546, -19.539686, -16.975645, -14.309385, -20.242582, -16.419296, -15.519029, -16.663363, -18.997623, -22.08531, -14.250209, -15.31467, -18.100677, -19.777039, -16.168472, -17.409904, -20.193604, -15.789846, -17.436228, -14.197869, -14.50863, -16.20697, -24.559752, -25.797094, -26.644365, -14.606217, -10.583277, -13.638436, -20.57411, -17.403673, -22.35096, -24.342405, -22.677998, -21.065136, -20.54811, -25.927795, -21.571415, -18.751593, -17.489676, -18.791512, -25.66955, -24.06854, -20.358255, -26.987015, -28.149479, -33.05573, -29.611496, -28.946165, -23.02273, -18.840246, -21.476734, -23.372866, -24.892305, -25.699478
1476846082.830000, /muse/elements/raw_fft3, 2.9738533, 12.231244, 7.134969, 9.911422, 8.027523, 5.058058, 1.5554723, 2.6170259, 1.7764717, 1.2632781, -1.6066754, -1.9393474, 0.6299914, 1.570842, -4.2821455, -0.89845604, -4.2916126, -3.804152, -1.9719412, -1.9024204, -2.5762222, -6.265385, -6.8278847, -7.3311286, -3.164162, -5.941217, -6.6591516, -5.6228685, -4.2626104, -5.853289, -9.683015, -16.199688, -10.332669, -7.1168866, -4.2604766, -3.726768, -8.778756, -4.852596, -10.556823, -10.666117, -3.3539703, -4.3558326, -11.030961, -6.828022, -6.0947695, -7.6340427, -3.80563, -5.820377, -5.877016, -8.571055, -10.977797, -10.817388, -7.871557, -7.8141327, -7.315466, -8.38014, -5.631509, -4.323058, -13.096675, -14.144751, -18.967674, -12.609139, -12.879977, -10.757496, -17.946585, -15.6821995, -14.245877, -14.869468, -17.768864, -18.334211, -19.616846, -22.067036, -19.53983, -26.470623, -18.663778, -14.258981, -14.141978, -12.837675, -14.99346, -15.108634, -14.013336, -10.417043, -11.0592785, -10.402527, -14.710939, -9.300586, -7.15648, -14.417657, -14.628057, -15.065705, -9.445885, -8.797945, -11.970005, -11.579765, -11.758227, -9.621468, -8.475049, -13.934854, -12.964986, -18.489689, -11.754239, -7.916035, -10.5430975, -19.699633, -19.848475, -13.195434, -12.642768, -14.694599, -11.271915, -11.172062, -12.148304, -12.4540415, -17.319906, -14.6931925, -14.455021, -14.5631075, -17.931492, -18.583603, -21.552732, -18.808128, -18.857334, -19.512203, -21.167225, -19.76942, -22.590206, -22.13672, -20.602371, -24.781542, -22.568888
1476846082.830000, /muse/elements/low_freqs_absolute, 1.3942208, 1.4693446, 1.4336773, 1.1149815
1476846082.830000, /muse/elements/alpha_absolute, 0.326074, 0.45735672, 0.3534248, 0.78685135
1476846082.830000, /muse/elements/beta_absolute, 0.776306, 0.16154988, 0.10702475, 0.72770274
1476846082.830000, /muse/elements/delta_absolute, 1.2838621, 1.3112051, 1.3163114, 1.0254074
